concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
4304917,40487785,Concept poss_eq from,2017-07-31,2099-12-31,
21143345,1734107,Marketed form of,2017-06-24,2099-12-31,
40228214,42663505,Mapped from,2020-03-08,2099-12-31,
44991946,920334,Maps to,1970-01-01,2099-12-31,
19134047,45196882,Mapped from,2009-06-01,2099-12-31,
792664,19082573,RxNorm has dose form,2018-02-05,2099-12-31,
45681961,44784878,SPL - RxNorm,2015-01-29,2099-12-31,
1510632,36787572,Has marketed form,2018-09-01,2099-12-31,
4300243,4245714,Subsumes,2011-07-31,2099-12-31,
44929145,723042,Maps to,2009-08-03,2099-12-31,
40221901,45283794,Mapped from,1970-01-01,2099-12-31,
19134047,44896733,Mapped from,2011-09-06,2099-12-31,
45073508,19078461,Maps to,2012-05-07,2099-12-31,
36303766,3025315,Panel contains,1970-01-01,2099-12-31,
44872106,19076374,Maps to,1970-01-01,2099-12-31,
19073777,45652112,Mapped from,1970-01-01,2099-12-31,
44101673,40166320,Marketed form of,2017-06-25,2099-12-31,
44111687,44784878,Tradename of,2017-06-25,2099-12-31,
44792488,4254477,Has asso proc,2015-03-01,2099-12-31,
44492337,1115171,Maps to,2017-10-23,2099-12-31,
45704918,1348267,SPL - RxNorm,1970-01-01,2099-12-31,
45005190,1551192,Maps to,2012-05-07,2099-12-31,
45213288,19078461,Maps to,2011-10-25,2099-12-31,
4062501,4064927,Is a,2011-07-31,2099-12-31,
41039420,1551192,Marketed form of,2017-07-18,2099-12-31,
45655888,19078461,SPL - RxNorm,1970-01-01,2099-12-31,
36370948,19019273,SPL - RxNorm,2021-12-12,2099-12-31,
4240345,4252216,Finding method of,2011-07-31,2099-12-31,
4281078,4163951,Has interprets,2011-07-31,2099-12-31,
40236824,45344252,Mapped from,2011-09-06,2099-12-31,
46233710,41002746,Has tradename,2017-07-18,2099-12-31,
42930621,1332419,Tradename of,2018-08-21,2099-12-31,
35605380,35605382,Has tradename,2016-05-02,2099-12-31,
19134047,45318059,Mapped from,2011-10-25,2099-12-31,
45827094,40232448,Maps to,2015-01-29,2099-12-31,
45838934,19008572,Maps to,2015-01-29,2099-12-31,
40318618,3539959,Concept was_a from,2012-04-01,2099-12-31,
45822859,40232448,Maps to,2015-01-29,2099-12-31,
45790572,1154062,SPL - RxNorm,2015-01-29,2099-12-31,
44952962,19073777,Maps to,1970-01-01,2099-12-31,
35402923,40232448,Maps to,2015-11-01,2099-12-31,
40228214,40243701,Has tradename,2011-11-07,2099-12-31,
43012036,42828463,Mapped from,2018-01-01,2099-12-31,
1962688,1348267,SPL - RxNorm,2022-02-20,2099-12-31,
45087661,957136,Maps to,1970-01-01,2099-12-31,
40763562,3006575,Panel contains,1970-01-01,2099-12-31,
1107882,41072173,Has marketed form,2017-07-18,2099-12-31,
723042,45376668,Mapped from,2008-09-02,2099-12-31,
19073777,44918735,Mapped from,1970-01-01,2099-12-31,
439777,4098747,Subsumes,2011-07-31,2099-12-31,
41315877,19075601,Tradename of,2017-07-18,2099-12-31,
35525252,19019273,Maps to,2018-11-25,2099-12-31,
4134120,40322347,Mapped from,2016-01-31,2099-12-31,
19134047,1624183,Mapped from,2022-01-09,2099-12-31,
36062136,19073183,Marketed form of,2020-08-17,2099-12-31,
4029704,4155973,Maps to,2019-07-31,2099-12-31,
45894024,1127433,SPL - RxNorm,2015-03-26,2099-12-31,
1782827,40174880,Maps to,2021-09-12,2099-12-31,
40229135,40229134,Tradename of,2010-12-06,2099-12-31,
36513514,1304048,Maps to,2019-10-13,2099-12-31,
2012153,1539411,Tradename of,2020-07-31,2099-12-31,
45837721,19078461,Maps to,2017-10-23,2099-12-31,
45066033,1551192,Maps to,2009-01-05,2099-12-31,
4240345,4060711,Finding method of,2011-07-31,2099-12-31,
40160973,44430952,Mapped from,2016-03-01,2099-12-31,
37018340,43530961,Follows,2019-07-31,2099-12-31,
40229134,44898683,Mapped from,2012-05-07,2099-12-31,
715294,770022,RxNorm - SPL,2020-01-12,2099-12-31,
45837902,19078461,Maps to,2015-01-29,2099-12-31,
40229135,40229134,Concept replaced by,2015-09-08,2099-12-31,
45308825,19078461,Maps to,1970-01-01,2099-12-31,
40236824,1623533,Mapped from,2022-01-09,2099-12-31,
